cancer_type,locus,stratum,n_intype,n_rest,chi2,dof,p,fdr
Bladder Cancer,C,nonASJ-EUR,1228,25101,34.88167459535087,30,0.2469713477624784,0.7792371834574748
Bladder Cancer,C,AFR,45,2188,30.296563768114254,23,0.1410762266220591,0.6613649785272052
Bladder Cancer,C,EAS,51,2427,16.097775737981614,23,0.8510511988004648,0.995521285203294
Melanoma,A,nonASJ-EUR,1146,25183,36.75942350959497,34,0.34222116212405823,0.8421908261217773
Melanoma,A,EAS,30,2448,21.835468219867685,23,0.5302023358902432,0.9281626763357194
Melanoma,B,nonASJ-EUR,1146,25183,114.23400755124042,61,4.332162560597547e-05,0.007927857485893511
Melanoma,B,EAS,30,2448,47.506812442955756,43,0.2941388852184515,0.8163021863618339
Melanoma,C,nonASJ-EUR,1146,25183,61.710884572622376,30,0.0005686245064081132,0.026014571168171182
Melanoma,C,EAS,30,2448,18.557868377729925,23,0.7265665074424403,0.9706307115973359
Esophagogastric Cancer,A,nonASJ-EUR,922,25407,27.703968256092622,34,0.7685913675047903,0.9767515295373377
Esophagogastric Cancer,A,AFR,51,2182,25.06336249657513,27,0.5709109373366741,0.9306626715435653
Esophagogastric Cancer,A,EAS,110,2368,31.65126546965012,23,0.10761607105440885,0.6154294063424006
Esophagogastric Cancer,B,nonASJ-EUR,922,25407,59.3087544450226,61,0.5374503431659085,0.9281626763357194
Esophagogastric Cancer,B,AFR,51,2182,70.21816508246783,40,0.0022045980730996373,0.04482682748635929
Esophagogastric Cancer,B,EAS,110,2368,65.70131871756801,43,0.014476004226149938,0.17660725155902926
Esophagogastric Cancer,C,nonASJ-EUR,922,25407,23.210643916480713,30,0.8065021786473316,0.9915970241839676
Esophagogastric Cancer,C,AFR,51,2182,27.334948804018865,23,0.241978813051638,0.7768793471657851
Esophagogastric Cancer,C,EAS,110,2368,24.5709779108081,23,0.37277818343222474,0.8635241464316092
Cancer of Unknown Primary,A,nonASJ-EUR,913,25416,34.29048455441732,34,0.45381594812968823,0.909486920053654
Cancer of Unknown Primary,A,AFR,69,2164,11.65087126255243,27,0.995521285203294,0.995521285203294
Cancer of Unknown Primary,A,EAS,75,2403,40.49515320156342,23,0.013516785466732207,0.17660725155902926
Cancer of Unknown Primary,B,nonASJ-EUR,913,25416,52.98342074211337,61,0.7577786513529722,0.9727870526131951
Cancer of Unknown Primary,B,AFR,69,2164,47.40717260165731,40,0.1961464875795909,0.7050004492506725
Cancer of Unknown Primary,B,EAS,75,2403,64.72862728142366,43,0.017671635528577073,0.18017009451921498
Cancer of Unknown Primary,C,nonASJ-EUR,913,25416,19.21925629324746,30,0.9352978500960276,0.995521285203294
Cancer of Unknown Primary,C,AFR,69,2164,31.03754855188738,23,0.12187342846829849,0.6493113342617909
Cancer of Unknown Primary,C,EAS,75,2403,29.794147475268723,23,0.1554026998725127,0.6613649785272052
Hepatobiliary Cancer,A,nonASJ-EUR,722,25607,28.364742819404366,34,0.7399318571042164,0.9706307115973359
Hepatobiliary Cancer,A,AFR,44,2189,34.96396466823816,27,0.13978109647013645,0.6613649785272052
Hepatobiliary Cancer,A,EAS,128,2350,21.02178497240879,23,0.5797570740763194,0.9306626715435653
Hepatobiliary Cancer,B,nonASJ-EUR,722,25607,38.116058401117726,61,0.9905092132168775,0.995521285203294
Hepatobiliary Cancer,B,AFR,44,2189,52.31312919128256,40,0.09188609261585985,0.5605051649567452
Hepatobiliary Cancer,B,EAS,128,2350,36.59098506171528,43,0.7440469313518957,0.9706307115973359
Hepatobiliary Cancer,C,nonASJ-EUR,722,25607,17.87054476228793,30,0.9605923541945812,0.995521285203294
Hepatobiliary Cancer,C,AFR,44,2189,24.23857988207846,23,0.39069735271610984,0.8826866116919518
Hepatobiliary Cancer,C,EAS,128,2350,19.955446669758842,23,0.6445979639093193,0.9682732819212779
Renal Cell Carcinoma,A,nonASJ-EUR,616,25713,18.834593033045582,34,0.9835384506950586,0.995521285203294
Renal Cell Carcinoma,A,AFR,57,2176,24.24062059403586,27,0.6169378453609593,0.9622894636150789
Renal Cell Carcinoma,B,nonASJ-EUR,616,25713,45.38284931303338,61,0.9325147661860724,0.995521285203294
Renal Cell Carcinoma,B,AFR,57,2176,28.260014847474707,40,0.9180602358233874,0.995521285203294
Renal Cell Carcinoma,C,nonASJ-EUR,616,25713,14.105431823602641,30,0.9938988393044828,0.995521285203294
Renal Cell Carcinoma,C,AFR,57,2176,10.142164765629495,23,0.9903627788325007,0.995521285203294
Thyroid Cancer,A,nonASJ-EUR,379,25950,24.97281184723696,34,0.8701665803441435,0.995521285203294
Thyroid Cancer,A,EAS,44,2434,22.470556436187167,23,0.4920175141273866,0.909486920053654
Thyroid Cancer,B,nonASJ-EUR,379,25950,78.38242798009732,61,0.06627390332122991,0.44918978917722496
Thyroid Cancer,B,EAS,44,2434,35.06867907611067,43,0.79988434365181,0.9915970241839676
Thyroid Cancer,C,nonASJ-EUR,379,25950,32.357105391088446,30,0.3511077131476766,0.8421908261217773
Thyroid Cancer,C,EAS,44,2434,10.510965647937546,23,0.9876464176301979,0.995521285203294
Germ Cell Tumor,A,nonASJ-EUR,350,25979,54.112465790720016,34,0.015610870995296683,0.17854933700870582
Germ Cell Tumor,B,nonASJ-EUR,350,25979,66.00561784444152,61,0.30806041521448113,0.8312401917373855
Germ Cell Tumor,C,nonASJ-EUR,350,25979,28.248626691809054,30,0.5572632601315668,0.9281626763357194
Head and Neck Cancer,A,nonASJ-EUR,342,25987,38.92583641495067,34,0.2576064413491678,0.7862835101712135
Head and Neck Cancer,A,EAS,36,2442,16.743549775677252,23,0.8216433543276807,0.995521285203294
Head and Neck Cancer,B,nonASJ-EUR,342,25987,71.95750162139416,61,0.15920399678570996,0.6621438957223846
Head and Neck Cancer,B,EAS,36,2442,29.365465520443305,43,0.9439367302205816,0.995521285203294
Head and Neck Cancer,C,nonASJ-EUR,342,25987,58.893386202790715,30,0.0012508247695084862,0.04482682748635929
Head and Neck Cancer,C,EAS,36,2442,26.303556267766147,23,0.28674620666596573,0.8163021863618339
Gastrointestinal Stromal Tumor,A,nonASJ-EUR,256,26073,29.419519084524136,34,0.691700443425324,0.9706307115973359
Gastrointestinal Stromal Tumor,A,AFR,44,2189,43.31455159261495,27,0.024308021784873887,0.21182704698247243
Gastrointestinal Stromal Tumor,A,EAS,34,2444,17.950736373352484,23,0.7601560028616771,0.9727870526131951
Gastrointestinal Stromal Tumor,B,nonASJ-EUR,256,26073,88.5033497309013,61,0.012238128740955936,0.1722751968919182
Gastrointestinal Stromal Tumor,B,AFR,44,2189,37.60481019326976,40,0.578606658926881,0.9306626715435653
Gastrointestinal Stromal Tumor,B,EAS,34,2444,44.993131209603064,43,0.3884404789210876,0.8826866116919518
Gastrointestinal Stromal Tumor,C,nonASJ-EUR,256,26073,33.31877869717631,30,0.3088761368204493,0.8312401917373855
Gastrointestinal Stromal Tumor,C,AFR,44,2189,14.304716715633873,23,0.9178119838356608,0.995521285203294
Gastrointestinal Stromal Tumor,C,EAS,34,2444,12.659899833592194,23,0.9589834412404743,0.995521285203294
Bone Cancer,A,nonASJ-EUR,243,26086,40.23905261086849,34,0.2134496802739587,0.7233572498173044
Bone Cancer,B,nonASJ-EUR,243,26086,57.18189364807037,61,0.6150243683916125,0.9622894636150789
Bone Cancer,C,nonASJ-EUR,243,26086,20.778637322495356,30,0.8946818736274909,0.995521285203294
Small Cell Lung Cancer,A,nonASJ-EUR,299,26030,22.280061951979,34,0.9387746990924233,0.995521285203294
Small Cell Lung Cancer,B,nonASJ-EUR,299,26030,64.5279132258401,61,0.35436444596380795,0.8421908261217773
Small Cell Lung Cancer,C,nonASJ-EUR,299,26030,35.18918082982909,30,0.2358219646255663,0.7768793471657851
"Skin Cancer, Non-Melanoma",A,nonASJ-EUR,240,26089,30.894828786117966,34,0.6206116577699988,0.9622894636150789
"Skin Cancer, Non-Melanoma",B,nonASJ-EUR,240,26089,70.89217824831077,61,0.18116538984165423,0.6765972722657698
"Skin Cancer, Non-Melanoma",C,nonASJ-EUR,240,26089,51.764230646357376,30,0.008074574113701322,0.12313725523394516
Mesothelioma,A,nonASJ-EUR,235,26094,40.318361914158,34,0.2109608635341237,0.7233572498173044
Mesothelioma,B,nonASJ-EUR,235,26094,51.62785811308207,61,0.7981755832754666,0.9915970241839676
Mesothelioma,C,nonASJ-EUR,235,26094,16.82449606751794,30,0.9746203002316989,0.995521285203294
Cervical Cancer,A,nonASJ-EUR,172,26157,39.403716265622485,34,0.2408959988225996,0.7768793471657851
Cervical Cancer,B,nonASJ-EUR,172,26157,80.83972451249124,61,0.04545469930693625,0.32268465118946155
Cervical Cancer,C,nonASJ-EUR,172,26157,30.01377695955094,30,0.4649482438937737,0.909486920053654
Peripheral Nervous System,A,nonASJ-EUR,189,26140,33.81302952515913,34,0.47676353913522307,0.909486920053654
Peripheral Nervous System,B,nonASJ-EUR,189,26140,61.6564435702771,61,0.45241186913629466,0.909486920053654
Peripheral Nervous System,C,nonASJ-EUR,189,26140,47.618391713662106,30,0.02163409568241764,0.1979519754941214
Salivary Gland Cancer,A,nonASJ-EUR,158,26171,33.640972818958744,34,0.48510905705895846,0.909486920053654
Salivary Gland Cancer,B,nonASJ-EUR,158,26171,39.75683878305051,61,0.9840050263374441,0.995521285203294
Salivary Gland Cancer,C,nonASJ-EUR,158,26171,20.246526750184785,30,0.9099637900855866,0.995521285203294
Uterine Sarcoma,A,nonASJ-EUR,142,26187,29.742312563009268,34,0.6764411121021121,0.9706307115973359
Uterine Sarcoma,A,AFR,32,2201,20.53960328844032,27,0.8073658830787496,0.9915970241839676
Uterine Sarcoma,B,nonASJ-EUR,142,26187,72.59038404089874,61,0.1471115925259664,0.6613649785272052
Uterine Sarcoma,B,AFR,32,2201,43.63435176413653,40,0.3196358286774067,0.8356193806852205
Uterine Sarcoma,C,nonASJ-EUR,142,26187,34.59174677047779,30,0.25779787218728306,0.7862835101712135
Uterine Sarcoma,C,AFR,32,2201,15.027706011492974,23,0.8936378264942512,0.995521285203294
Appendiceal Cancer,A,nonASJ-EUR,170,26159,30.01148072082659,34,0.6635718277066216,0.9706307115973359
Appendiceal Cancer,B,nonASJ-EUR,170,26159,41.983072401709144,61,0.9699670873502545,0.995521285203294
Appendiceal Cancer,C,nonASJ-EUR,170,26159,16.566528917721385,30,0.9774179654077352,0.995521285203294
